Hshd_num,last_purchase_date,first_purchase_date,purchase_count,total_spend,total_units,avg_basket_value,unique_products,store_region,tenure,tenure_safe,purchase_frequency,recency,spend_per_day,spend_per_visit,product_diversity,dept_food,dept_non-food,dept_pharma,Loyalty_flag,Age_range,Marital_status,Income_range,Homeowner_desc,Hshd_composition,Hshd_size,Children,future_spend,annual_clv,blended_monthly_spend,clv_12_month,predicted_clv,clv_tier
10,2020-05-12,2018-08-19,148,8328.26,1673,56.27202702702703,646,EAST,632,632,7.025316455696203,5,13.177626582278481,56.27202702702703,0.38613269575612674,4697.25,3374.66,256.35,Y,45-54,Single,35-49K,Homeowner,1 Adult,1.0,,1126.65,4506.6,395.3287974683544,4743.945569620253,4829.332812109943,Gold
29,2019-10-19,2019-03-10,2,19.950000000000003,6,9.975000000000001,6,CENTRAL,223,223,0.26905829596412556,211,0.08946188340807176,9.975000000000001,1.0,18.950000000000003,1.0,0.0,Y,55-64,Married,100-150K,Homeowner,2 Adults and Kids,3.0,1.0,0.0,0.0,1.6397260273972605,19.676712328767124,24.893939616616485,Bronze
53,2020-05-17,2018-08-20,153,5351.05,2601,34.97418300653595,724,EAST,636,636,7.216981132075472,0,8.413600628930817,34.97418300653595,0.27835447904652055,3600.82,1479.41,270.82,Y,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3.0,1.0,639.27,2557.08,252.40801886792454,3028.8962264150946,3042.3852921896905,Silver
54,2020-05-12,2018-08-20,237,7266.360000000001,3464,30.65974683544304,998,EAST,631,631,11.26782884310618,5,11.515625990491285,30.65974683544304,0.2881062355658199,5562.79,1692.09,11.48,Y,75+,Married,UNDER 35K,Homeowner,2 Adults,2.0,,780.25,3121.0,345.4687797147385,4145.625356576862,4148.763659241599,Gold
60,2020-05-16,2018-08-19,518,26982.27,10162,52.08932432432433,2052,EAST,636,636,24.433962264150946,1,42.42495283018868,52.08932432432432,0.2019287541822476,19590.96,6550.38,840.9300000000001,Y,45-54,Married,35-49K,Homeowner,2 Adults and Kids,5.0,3.0,3646.06,14584.24,1272.7485849056604,15272.983018867926,13879.306755965186,Platinum
81,2020-05-04,2019-04-22,7,39.82,9,5.688571428571429,9,EAST,378,378,0.5555555555555556,13,0.10534391534391535,5.688571428571429,1.0,34.83,4.99,0.0,N,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3.0,1.0,0.0,0.0,3.1603174603174606,37.923809523809524,72.70761974742695,Bronze
92,2019-03-27,2018-10-30,2,29.07,14,14.535,7,CENTRAL,148,148,0.4054054054054054,417,0.1964189189189189,14.535,0.5,29.07,0.0,0.0,Y,55-64,Married,75-99K,Homeowner,2 Adults and Kids,3.0,1.0,0.0,0.0,2.3893150684931506,28.671780821917807,56.258914744934245,Bronze
99,2020-05-17,2018-08-17,206,13709.18,5007,66.54941747572816,1127,SOUTH,639,639,9.671361502347418,0,21.454115805946792,66.54941747572816,0.22508488116636707,11608.43,1737.24,363.51,Y,35-44,Married,75-99K,Homeowner,2 Adults and Kids,3.0,1.0,2108.11,8432.44,643.6234741784037,7723.481690140845,7736.190095724377,Platinum
115,2019-08-08,2019-08-06,2,100.26,40,50.13000000000001,36,SOUTH,2,2,30.0,283,50.13,50.13,0.9,63.980000000000004,33.29,2.99,Y,35-44,Married,35-49K,Homeowner,2 Adults and Kids,5.0,3.0,0.0,0.0,8.24054794520548,98.88657534246576,321.20783387546453,Bronze
117,2020-05-12,2018-08-17,236,17226.99,4442,72.99572033898306,1718,EAST,634,634,11.167192429022082,5,27.17190851735016,72.99572033898306,0.38676271949572266,14492.880000000001,2232.16,501.95,Y,45-54,Single,150K+,Homeowner,1 Adult and Kids,5.0,3.0,1514.35,6057.4,815.1572555205048,9781.887066246058,9951.014296935218,Platinum
136,2020-05-15,2018-08-17,228,13266.460000000001,2598,58.18622807017543,1267,EAST,637,637,10.737833594976452,2,20.82646781789639,58.186228070175446,0.48768283294842185,8602.26,4123.74,540.4599999999999,Y,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3.0,1.0,589.36,2357.44,624.7940345368917,7497.5284144427005,7474.24325784204,Platinum
139,2018-11-02,2018-09-01,9,668.88,245,74.32000000000001,122,EAST,62,62,4.354838709677419,562,10.788387096774194,74.32,0.49795918367346936,559.58,107.31,1.99,Y,55-64,Single,35-49K,Renter,Single Female,1.0,,0.0,0.0,54.97643835616438,659.7172602739726,639.2806256839939,Bronze
151,2020-05-17,2018-08-18,272,7879.31,2647,28.96805147058824,1056,EAST,638,638,12.789968652037619,0,12.350015673981192,28.968051470588236,0.398942198715527,6301.51,1300.6200000000001,277.18,N,45-54,Single,150K+,Homeowner,1 Adult,1.0,,762.84,3051.36,370.5004702194358,4446.005642633229,4443.674854655785,Gold
159,2020-05-17,2018-08-18,199,8445.36,3963,42.438994974874376,1321,EAST,638,638,9.357366771159874,0,13.237241379310346,42.438994974874376,0.3333333333333333,7046.05,1356.3500000000001,42.96,Y,,,,,,,,1539.97,6159.88,397.11724137931037,4765.4068965517245,4848.303460742491,Gold
160,2020-03-04,2018-08-17,95,2217.89,600,23.346210526315787,361,EAST,565,565,5.04424778761062,74,3.9254690265486722,23.346210526315787,0.6016666666666667,1928.52,230.39,58.980000000000004,Y,45-54,Married,100-150K,Homeowner,2 Adults and Kids,4.0,2.0,736.9300000000001,2947.7200000000003,117.76407079646017,1413.1688495575222,1344.3253260922852,Bronze
