product1_num,product1_dept,product1_comm,product2_num,product2_dept,product2_comm,co_occurrence_count
8436,FOOD,PRODUCE,84775,FOOD,DAIRY,434
8436,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,373
8436,FOOD,PRODUCE,8487,FOOD,PRODUCE,352
8436,FOOD,PRODUCE,88731,FOOD,GROCERY STAPLE,321
8436,FOOD,PRODUCE,8512,FOOD,PRODUCE,286
84775,FOOD,DAIRY,8436,FOOD,PRODUCE,434
84775,FOOD,DAIRY,88715,FOOD,GROCERY STAPLE,416
84775,FOOD,DAIRY,88731,FOOD,GROCERY STAPLE,372
84775,FOOD,DAIRY,3781030,FOOD,PRODUCE,358
84775,FOOD,DAIRY,1023718,FOOD,PRODUCE,333
88715,FOOD,GROCERY STAPLE,84775,FOOD,DAIRY,416
88715,FOOD,GROCERY STAPLE,8436,FOOD,PRODUCE,373
88715,FOOD,GROCERY STAPLE,3781030,FOOD,PRODUCE,309
88715,FOOD,GROCERY STAPLE,84759,FOOD,DAIRY,242
88715,FOOD,GROCERY STAPLE,1023718,FOOD,PRODUCE,199
8487,FOOD,PRODUCE,8512,FOOD,PRODUCE,395
8487,FOOD,PRODUCE,8436,FOOD,PRODUCE,352
8487,FOOD,PRODUCE,8490,FOOD,PRODUCE,230
8487,FOOD,PRODUCE,2267712,FOOD,PRODUCE,202
8487,FOOD,PRODUCE,101655,FOOD,PRODUCE,193
8512,FOOD,PRODUCE,8487,FOOD,PRODUCE,395
8512,FOOD,PRODUCE,8436,FOOD,PRODUCE,286
8512,FOOD,PRODUCE,2267712,FOOD,PRODUCE,248
8512,FOOD,PRODUCE,442202,FOOD,PRODUCE,227
8512,FOOD,PRODUCE,9087,FOOD,PRODUCE,194
88731,FOOD,GROCERY STAPLE,84775,FOOD,DAIRY,372
88731,FOOD,GROCERY STAPLE,8436,FOOD,PRODUCE,321
88731,FOOD,GROCERY STAPLE,84666,FOOD,DAIRY,270
88731,FOOD,GROCERY STAPLE,3781030,FOOD,PRODUCE,250
88731,FOOD,GROCERY STAPLE,96157,FOOD,GROCERY STAPLE,175
3781030,FOOD,PRODUCE,84775,FOOD,DAIRY,358
3781030,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,309
3781030,FOOD,PRODUCE,88731,FOOD,GROCERY STAPLE,250
3781030,FOOD,PRODUCE,8487,FOOD,PRODUCE,174
3781030,FOOD,PRODUCE,9210,FOOD,PRODUCE,151
1023718,FOOD,PRODUCE,84775,FOOD,DAIRY,333
1023718,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,199
1023718,FOOD,PRODUCE,2617245,FOOD,PRODUCE,185
1023718,FOOD,PRODUCE,88731,FOOD,GROCERY STAPLE,159
1023718,FOOD,PRODUCE,84666,FOOD,DAIRY,132
84666,FOOD,DAIRY,88731,FOOD,GROCERY STAPLE,270
84666,FOOD,DAIRY,8436,FOOD,PRODUCE,210
84666,FOOD,DAIRY,88715,FOOD,GROCERY STAPLE,194
84666,FOOD,DAIRY,3781030,FOOD,PRODUCE,133
84666,FOOD,DAIRY,1023718,FOOD,PRODUCE,132
2267712,FOOD,PRODUCE,84814,FOOD,DAIRY,264
2267712,FOOD,PRODUCE,97584,FOOD,GROCERY STAPLE,251
2267712,FOOD,PRODUCE,8512,FOOD,PRODUCE,248
2267712,FOOD,PRODUCE,8487,FOOD,PRODUCE,202
2267712,FOOD,PRODUCE,93161,FOOD,BEVERAGE - WATER,178
84814,FOOD,DAIRY,2267712,FOOD,PRODUCE,264
84814,FOOD,DAIRY,97584,FOOD,GROCERY STAPLE,230
84814,FOOD,DAIRY,8436,FOOD,PRODUCE,159
84814,FOOD,DAIRY,8512,FOOD,PRODUCE,132
84814,FOOD,DAIRY,97650,FOOD,GROCERY STAPLE,130
8490,FOOD,PRODUCE,8436,FOOD,PRODUCE,255
8490,FOOD,PRODUCE,8487,FOOD,PRODUCE,230
8490,FOOD,PRODUCE,8512,FOOD,PRODUCE,163
8490,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,153
8490,FOOD,PRODUCE,84775,FOOD,DAIRY,151
97584,FOOD,GROCERY STAPLE,2267712,FOOD,PRODUCE,251
97584,FOOD,GROCERY STAPLE,84814,FOOD,DAIRY,230
97584,FOOD,GROCERY STAPLE,93161,FOOD,BEVERAGE - WATER,127
97584,FOOD,GROCERY STAPLE,8512,FOOD,PRODUCE,119
97584,FOOD,GROCERY STAPLE,8436,FOOD,PRODUCE,116
84759,FOOD,DAIRY,88715,FOOD,GROCERY STAPLE,242
84759,FOOD,DAIRY,8436,FOOD,PRODUCE,208
84759,FOOD,DAIRY,88731,FOOD,GROCERY STAPLE,152
84759,FOOD,DAIRY,3781030,FOOD,PRODUCE,121
84759,FOOD,DAIRY,1023718,FOOD,PRODUCE,110
4149080,NON-FOOD,TOBACCO PRODUCTS,6559033,NON-FOOD,TOBACCO PRODUCTS,227
4149080,NON-FOOD,TOBACCO PRODUCTS,761845,FOOD,BEVERAGE - NON WATER,168
6559033,NON-FOOD,TOBACCO PRODUCTS,4149080,NON-FOOD,TOBACCO PRODUCTS,227
6559033,NON-FOOD,TOBACCO PRODUCTS,761845,FOOD,BEVERAGE - NON WATER,180
442202,FOOD,PRODUCE,8512,FOOD,PRODUCE,227
442202,FOOD,PRODUCE,8487,FOOD,PRODUCE,169
442202,FOOD,PRODUCE,2267712,FOOD,PRODUCE,132
442202,FOOD,PRODUCE,8436,FOOD,PRODUCE,125
7592,FOOD,PRODUCE,8436,FOOD,PRODUCE,223
7592,FOOD,PRODUCE,8487,FOOD,PRODUCE,181
7592,FOOD,PRODUCE,8492,FOOD,PRODUCE,150
7592,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,129
7592,FOOD,PRODUCE,84775,FOOD,DAIRY,128
72569,FOOD,BAKERY,72602,FOOD,BAKERY,218
72569,FOOD,BAKERY,1023718,FOOD,PRODUCE,108
72569,FOOD,BAKERY,84775,FOOD,DAIRY,103
72569,FOOD,BAKERY,88715,FOOD,GROCERY STAPLE,101
72569,FOOD,BAKERY,84666,FOOD,DAIRY,98
72602,FOOD,BAKERY,72569,FOOD,BAKERY,218
72602,FOOD,BAKERY,8436,FOOD,PRODUCE,126
72602,FOOD,BAKERY,1023718,FOOD,PRODUCE,124
72602,FOOD,BAKERY,88731,FOOD,GROCERY STAPLE,117
72602,FOOD,BAKERY,88715,FOOD,GROCERY STAPLE,115
8492,FOOD,PRODUCE,9178,FOOD,PRODUCE,201
8492,FOOD,PRODUCE,8487,FOOD,PRODUCE,184
8492,FOOD,PRODUCE,7592,FOOD,PRODUCE,150
8492,FOOD,PRODUCE,8436,FOOD,PRODUCE,143
8492,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,125
9178,FOOD,PRODUCE,8492,FOOD,PRODUCE,201
9087,FOOD,PRODUCE,8512,FOOD,PRODUCE,194
9087,FOOD,PRODUCE,9276,FOOD,GROCERY STAPLE,151
9087,FOOD,PRODUCE,8473,FOOD,PRODUCE,103
9087,FOOD,PRODUCE,5785105,FOOD,GROCERY STAPLE,100
9087,FOOD,PRODUCE,8436,FOOD,PRODUCE,98
101655,FOOD,PRODUCE,8487,FOOD,PRODUCE,193
101655,FOOD,PRODUCE,8436,FOOD,PRODUCE,113
6439955,FOOD,GROCERY STAPLE,6441562,FOOD,GROCERY STAPLE,189
6441562,FOOD,GROCERY STAPLE,6439955,FOOD,GROCERY STAPLE,189
6441562,FOOD,GROCERY STAPLE,84775,FOOD,DAIRY,131
761330,FOOD,BEVERAGE - NON WATER,761332,FOOD,BEVERAGE - NON WATER,187
761332,FOOD,BEVERAGE - NON WATER,761330,FOOD,BEVERAGE - NON WATER,187
